Scores: (min: 9, avg: 107.390625, max: 500)

Run: 65, exploration: 0.01, score: 188
Scores: (min: 9, avg: 108.63076923076923, max: 500)

Run: 66, exploration: 0.01, score: 236
Scores: (min: 9, avg: 110.56060606060606, max: 500)

Run: 67, exploration: 0.01, score: 192
Scores: (min: 9, avg: 111.77611940298507, max: 500)

Run: 68, exploration: 0.01, score: 341
Scores: (min: 9, avg: 115.1470588235294, max: 500)

Run: 69, exploration: 0.01, score: 341
Scores: (min: 9, avg: 118.42028985507247, max: 500)

Run: 70, exploration: 0.01, score: 266
Scores: (min: 9, avg: 120.52857142857142, max: 500)

Run: 71, exploration: 0.01, score: 326
Scores: (min: 9, avg: 123.4225352112676, max: 500)

Run: 72, exploration: 0.01, score: 374
Scores: (min: 9, avg: 126.90277777777777, max: 500)

Run: 73, exploration: 0.01, score: 342
Scores: (min: 9, avg: 129.84931506849315, max: 500)

Run: 74, exploration: 0.01, score: 275
Scores: (min: 9, avg: 131.8108108108108, max: 500)

Run: 75, exploration: 0.01, score: 349
Scores: (min: 9, avg: 134.70666666666668, max: 500)

Run: 76, exploration: 0.01, score: 206
Scores: (min: 9, avg: 135.64473684210526, max: 500)

Run: 77, exploration: 0.01, score: 289
Scores: (min: 9, avg: 137.63636363636363, max: 500)

Run: 78, exploration: 0.01, score: 236
Scores: (min: 9, avg: 138.89743589743588, max: 500)

Run: 79, exploration: 0.01, score: 278
Scores: (min: 9, avg: 140.65822784810126, max: 500)

Run: 80, exploration: 0.01, score: 234
Scores: (min: 9, avg: 141.825, max: 500)

Run: 81, exploration: 0.01, score: 222
Scores: (min: 9, avg: 142.8148148148148, max: 500)

Run: 82, exploration: 0.01, score: 227
Scores: (min: 9, avg: 143.84146341463415, max: 500)

Run: 83, exploration: 0.01, score: 207
Scores: (min: 9, avg: 144.6024096385542, max: 500)

Run: 84, exploration: 0.01, score: 253
Scores: (min: 9, avg: 145.89285714285714, max: 500)

Run: 85, exploration: 0.01, score: 338
Scores: (min: 9, avg: 148.1529411764706, max: 500)

Run: 86, exploration: 0.01, score: 276
Scores: (min: 9, avg: 149.63953488372093, max: 500)

Run: 87, exploration: 0.01, score: 298
Scores: (min: 9, avg: 151.3448275862069, max: 500)

Run: 88, exploration: 0.01, score: 198
Scores: (min: 9, avg: 151.875, max: 500)

Run: 89, exploration: 0.01, score: 239
Scores: (min: 9, avg: 152.85393258426967, max: 500)

Run: 90, exploration: 0.01, score: 184
Scores: (min: 9, avg: 153.2, max: 500)

Run: 91, exploration: 0.01, score: 272
Scores: (min: 9, avg: 154.5054945054945, max: 500)

Run: 92, exploration: 0.01, score: 293
Scores: (min: 9, avg: 156.0108695652174, max: 500)

Run: 93, exploration: 0.01, score: 260
Scores: (min: 9, avg: 157.1290322580645, max: 500)

Run: 94, exploration: 0.01, score: 236
Scores: (min: 9, avg: 157.96808510638297, max: 500)

Run: 95, exploration: 0.01, score: 195
Scores: (min: 9, avg: 158.3578947368421, max: 500)

Run: 96, exploration: 0.01, score: 233
Scores: (min: 9, avg: 159.13541666666666, max: 500)

Run: 97, exploration: 0.01, score: 178
Scores: (min: 9, avg: 159.3298969072165, max: 500)

Run: 98, exploration: 0.01, score: 272
Scores: (min: 9, avg: 160.4795918367347, max: 500)

Run: 99, exploration: 0.01, score: 275
Scores: (min: 9, avg: 161.63636363636363, max: 500)

Run: 100, exploration: 0.01, score: 277
Scores: (min: 9, avg: 162.79, max: 500)

Run: 101, exploration: 0.01, score: 217
Scores: (min: 9, avg: 164.74, max: 500)

Run: 102, exploration: 0.01, score: 318
Scores: (min: 9, avg: 167.31, max: 500)

Run: 103, exploration: 0.01, score: 500
Scores: (min: 9, avg: 172.15, max: 500)

Run: 104, exploration: 0.01, score: 226
Scores: (min: 9, avg: 174.16, max: 500)

Run: 105, exploration: 0.01, score: 223
Scores: (min: 9, avg: 176.29, max: 500)

Run: 106, exploration: 0.01, score: 287
Scores: (min: 9, avg: 179.03, max: 500)

Run: 107, exploration: 0.01, score: 399
Scores: (min: 9, avg: 182.91, max: 500)

Run: 108, exploration: 0.01, score: 250
Scores: (min: 9, avg: 185.28, max: 500)

Run: 109, exploration: 0.01, score: 341
Scores: (min: 9, avg: 188.54, max: 500)

Run: 110, exploration: 0.01, score: 253
Scores: (min: 9, avg: 190.93, max: 500)

Run: 111, exploration: 0.01, score: 270
Scores: (min: 9, avg: 193.47, max: 500)

Run: 112, exploration: 0.01, score: 224
Scores: (min: 9, avg: 195.51, max: 500)

Solved in 12 runs, 112 total runs.
